time,power
2021-05-27T14:37:09+00:00,167851.0
2021-05-27T14:37:10+00:00,167512.0
2021-05-27T14:37:11+00:00,166027.0
2021-05-27T14:37:12+00:00,166477.0
2021-05-27T14:37:13+00:00,166589.0
2021-05-27T14:37:14+00:00,166472.0
2021-05-27T14:37:15+00:00,166378.0
2021-05-27T14:37:16+00:00,166171.0
2021-05-27T14:37:17+00:00,164812.0
2021-05-27T14:37:18+00:00,165157.0
2021-05-27T14:37:19+00:00,164459.0
2021-05-27T14:37:20+00:00,163798.0
2021-05-27T14:37:21+00:00,162675.0
2021-05-27T14:37:22+00:00,162361.0
2021-05-27T14:37:23+00:00,162844.0
2021-05-27T14:37:24+00:00,161755.0
2021-05-27T14:37:25+00:00,160803.0
2021-05-27T14:37:26+00:00,160729.0
2021-05-27T14:37:27+00:00,160665.0
2021-05-27T14:37:28+00:00,159902.0
2021-05-27T14:37:29+00:00,159087.0
2021-05-27T14:37:30+00:00,159524.0
2021-05-27T14:37:31+00:00,159381.0
2021-05-27T14:37:32+00:00,159663.0
2021-05-27T14:37:33+00:00,159449.0
2021-05-27T14:37:34+00:00,159249.0
2021-05-27T14:37:35+00:00,157991.0
2021-05-27T14:37:36+00:00,156921.0
2021-05-27T14:37:37+00:00,155955.0
2021-05-27T14:37:38+00:00,155381.0
2021-05-27T14:37:39+00:00,154561.0
2021-05-27T14:37:40+00:00,153777.0
2021-05-27T14:37:41+00:00,153121.0
2021-05-27T14:37:42+00:00,152958.0
2021-05-27T14:37:43+00:00,153104.0
2021-05-27T14:37:44+00:00,153518.0
2021-05-27T14:37:45+00:00,152646.0
2021-05-27T14:37:46+00:00,151645.0
2021-05-27T14:37:47+00:00,150727.0
2021-05-27T14:37:48+00:00,150086.0
2021-05-27T14:37:49+00:00,150280.0
2021-05-27T14:37:50+00:00,149800.0
2021-05-27T14:37:51+00:00,150077.0
2021-05-27T14:37:52+00:00,149420.0
2021-05-27T14:37:53+00:00,148826.0
2021-05-27T14:37:54+00:00,148521.0
2021-05-27T14:37:55+00:00,148042.0
2021-05-27T14:37:56+00:00,147598.0
2021-05-27T14:37:57+00:00,146864.0
2021-05-27T14:37:58+00:00,145759.0
2021-05-27T14:37:59+00:00,145303.0
2021-05-27T14:38:00+00:00,144683.0
2021-05-27T14:38:01+00:00,144213.0
2021-05-27T14:38:02+00:00,143856.0
2021-05-27T14:38:03+00:00,142600.0
2021-05-27T14:38:04+00:00,141373.0
2021-05-27T14:38:05+00:00,141184.0
2021-05-27T14:38:06+00:00,140302.0
2021-05-27T14:38:07+00:00,139186.0
2021-05-27T14:38:08+00:00,138992.0
2021-05-27T14:38:09+00:00,138613.0
2021-05-27T14:38:10+00:00,138290.0
2021-05-27T14:38:11+00:00,137873.0
2021-05-27T14:38:12+00:00,137422.0
2021-05-27T14:38:13+00:00,136781.0
2021-05-27T14:38:14+00:00,136243.0
2021-05-27T14:38:15+00:00,136158.0
2021-05-27T14:38:16+00:00,134957.0
2021-05-27T14:38:17+00:00,134326.0
2021-05-27T14:38:18+00:00,133206.0
2021-05-27T14:38:19+00:00,132773.0
2021-05-27T14:38:20+00:00,132354.0
2021-05-27T14:38:21+00:00,132651.0
2021-05-27T14:38:22+00:00,130910.0
2021-05-27T14:38:23+00:00,129602.0
2021-05-27T14:38:24+00:00,130302.0
2021-05-27T14:38:25+00:00,129311.0
2021-05-27T14:38:26+00:00,128824.0
2021-05-27T14:38:27+00:00,128146.0
2021-05-27T14:38:28+00:00,127706.0
2021-05-27T14:38:29+00:00,127116.0
2021-05-27T14:38:30+00:00,126925.0
2021-05-27T14:38:31+00:00,126071.0
2021-05-27T14:38:32+00:00,124947.0
2021-05-27T14:38:33+00:00,123933.0
2021-05-27T14:38:34+00:00,123403.0
2021-05-27T14:38:35+00:00,122438.0
2021-05-27T14:38:36+00:00,121680.0
2021-05-27T14:38:37+00:00,121037.0
2021-05-27T14:38:38+00:00,120528.0
2021-05-27T14:38:39+00:00,119486.0
2021-05-27T14:38:40+00:00,118515.0
2021-05-27T14:38:41+00:00,117589.0
2021-05-27T14:38:42+00:00,117052.0
2021-05-27T14:38:43+00:00,116020.0
2021-05-27T14:38:44+00:00,115108.0
2021-05-27T14:38:45+00:00,114213.0
2021-05-27T14:38:46+00:00,112881.0
2021-05-27T14:38:47+00:00,111060.0
2021-05-27T14:38:48+00:00,108526.0
2021-05-27T14:38:49+00:00,105721.0
2021-05-27T14:38:50+00:00,103530.0
2021-05-27T14:38:51+00:00,102094.0
2021-05-27T14:38:52+00:00,100173.0
2021-05-27T14:38:53+00:00,97815.0
2021-05-27T14:38:54+00:00,96004.0
2021-05-27T14:38:55+00:00,94541.0
2021-05-27T14:38:56+00:00,93378.0
2021-05-27T14:38:57+00:00,91822.0
2021-05-27T14:38:58+00:00,91276.0
2021-05-27T14:38:59+00:00,90418.0
2021-05-27T14:39:00+00:00,89384.0
2021-05-27T14:39:01+00:00,88482.0
2021-05-27T14:39:02+00:00,88038.0
2021-05-27T14:39:03+00:00,87415.0
2021-05-27T14:39:04+00:00,86841.0
2021-05-27T14:39:05+00:00,86435.0
2021-05-27T14:39:06+00:00,85918.0
